图层_1,7,140.98275,989.99464,704.31723
_x23_background,33.361333,140.98275,963.63331,636.75633
_x23_home_x28_have_x5B_bookcase_x2C_apple_x2C_wall_x5F_clock_x5D__x29_,7,249.39999,884.40002,595.89999
ellipse5,7,635.89998,884.40002,209.39999
path7,71.884222,455.2,101.11578,265.1
path9,104.65162,454.78254,68.607792,266.48323
path11,41.8,621.28243,141.6,110.85622
path13,41.8,621.28243,141.6,110.85622
path15,41.585904,620.82319,142.41916,96.111005
path17,366.38955,791.75577,35.910914,21.444231
circle19,101.99999,249.39999,64.800003,64.800003
circle21,106.89999,254.29999,55,55
circle23,132.39999,279.79999,4,4
line25,134.96531,260.85292,11.66937,19.494167
line27,135.9647,282.15883,10.970589,6.4823588
path29,193.2,772.8,17.5,1.7777778
rect31,515.20001,338.79999,276.20001,19.1
rect33,515.20001,421.29999,276.20001,19.1
rect35,515.20001,507.29999,276.20001,19.1
rect37,539.5,289.29999,17.4,49.5
rect39,539.5,297.10001,17.4,3.5
rect41,539.5,324,17.4,3.5
rect43,565.59998,289.29999,17.4,49.5
rect45,565.59998,297.10001,17.4,3.5
rect47,565.59998,324,17.4,3.5
rect49,591.59998,289.29999,17.4,49.5
rect51,591.59998,297.10001,17.4,3.5
rect53,591.59998,324,17.4,3.5
rect55,617.70001,289.29999,17.4,49.5
rect57,617.70001,297.10001,17.4,3.5
rect59,617.70001,324,17.4,3.5
rect61,643.70001,289.29999,17.4,49.5
rect63,643.70001,297.10001,17.4,3.5
rect65,643.70001,324,17.4,3.5
rect67,669.79999,289.29999,17.4,49.5
rect69,669.79999,297.10001,17.4,3.5
rect71,669.79999,324,17.4,3.5
rect73,695.90002,289.29999,17.4,49.5
rect75,695.90002,297.10001,17.4,3.5
rect77,695.90002,324,17.4,3.5
rect79,687.41617,456.51395,37.73976,52.04673
rect81,690.91049,463.49291,17.12256,10.92733
rect83,703.01978,487.51725,17.12256,10.92733
rect85,539.5,372.70001,17.4,49.5
rect87,539.5,380.5,17.4,3.5
rect89,539.5,407.39999,17.4,3.5
rect91,565.59998,372.70001,17.4,49.5
rect93,565.59998,380.5,17.4,3.5
rect95,565.59998,407.39999,17.4,3.5
rect97,591.59998,372.70001,17.4,49.5
rect99,591.59998,380.5,17.4,3.5
rect101,591.59998,407.39999,17.4,3.5
rect103,700.20001,372.70001,17.4,49.5
rect105,700.20001,380.5,17.4,3.5
rect107,700.20001,407.39999,17.4,3.5
rect109,726.29999,372.70001,17.4,49.5
rect111,726.29999,380.5,17.4,3.5
rect113,726.29999,407.39999,17.4,3.5
rect115,752.29999,372.70001,17.4,49.5
rect117,752.29999,380.5,17.4,3.5
rect119,752.29999,407.39999,17.4,3.5
rect121,539.5,457.79999,17.4,49.5
rect123,539.5,465.60001,17.4,3.5
rect125,539.5,492.60001,17.4,3.5
rect127,565.59998,457.79999,17.4,49.5
rect129,565.59998,465.60001,17.4,3.5
rect131,565.59998,492.60001,17.4,3.5
rect133,591.59998,457.79999,17.4,49.5
rect135,591.59998,465.60001,17.4,3.5
rect137,591.59998,492.60001,17.4,3.5
rect139,617.70001,457.79999,17.4,49.5
rect141,617.70001,465.60001,17.4,3.5
rect143,617.70001,492.60001,17.4,3.5
rect145,643.70001,457.79999,17.4,49.5
rect147,643.70001,465.60001,17.4,3.5
rect149,643.70001,492.60001,17.4,3.5
rect151,669.79999,457.79999,17.4,49.5
rect153,669.79999,465.60001,17.4,3.5
rect155,669.79999,492.60001,17.4,3.5
path157,721.9,290.4,17.4,48.4
rect159,721.90002,297.10001,17.4,3.5
rect161,721.90002,324,17.4,3.5
path163,748,295.5,17.3,43.3
path165,748,297.1,17.3,3.5
rect167,748,324,17.4,3.5
g185,635.29866,394.63691,20.569977,27.1794
path169,635.29866,403.62154,20.569977,18.194773
path171,635.29866,403.38268,16.401338,17.217325
path173,641.4,406.4,6.7,0.66666667
path175,640.9,395.2,5.7,11.5
path177,640.9,395.2,5.7,11.5
path179,644.3,394.63691,10.3,8.8202126
path181,644.3,394.63691,10.3,8.8202126
path183,644.2,396,10.3,7.5
g203,746.49866,480.63691,20.569977,27.1794
path187,746.49866,489.62154,20.569977,18.194773
path189,746.49866,489.38268,16.401338,17.217325
path191,752.5,492.4,6.7,0.66666667
path193,752.1,481.2,5.7,11.5
path195,752.1,481.2,5.7,11.5
path197,755.5,480.63691,10.3,8.8202126
path199,755.5,480.63691,10.3,8.8202126
path201,755.4,482,10.3,7.5
_x23_woman_x28_play_x5B_computer_x5D__x2C_work_x2C_sit_x29_,112.28855,220.57457,617.11145,592.57001
path206,514.9,700.42595,100.03761,57.488601
path208,213.53433,237.97457,175.25468,344.47127
path210,213.53433,237.97457,175.25468,344.47127
polygon212,235.9,628.5,186.8,99.9
polygon214,235.9,628.5,186.8,99.9
path216,362.34454,727.95765,58.265541,46.471373
path218,362.34454,727.95765,58.265541,46.471373
path220,276.69978,742.7217,115.10022,70.422885
path222,112.28855,663.14221,256.62804,129.23604
path224,277.8407,622.91201,283.79095,137.68799
path226,193.4,332.47778,172.96464,177.02222
path228,244.06605,332.47778,83.23395,51.015353
circle230,230.7,253.2,128.60001,128.60001
path232,112.5,394,296.81053,308.4
path234,112.5,390.5,296.81053,308.4
path236,374.8,709.39178,101.05103,49.199463
g244,112.5,390.5,291.78874,308.3
path238,204.3,390.5,93.2,80.971429
path240,265.6,456.24253,138.68874,230.12162
path242,112.5,676.92175,87.9,21.878254
path246,362.49192,453,194.30808,293.16667
path248,162.5,599.4,164.9,35.593802
path250,155.61624,461.60476,240.98376,300.59524
path252,156.41624,459.90476,240.98376,300.59524
path254,168.33433,221.47457,175.25468,344.47127
path256,166.53433,220.57457,175.25468,344.47127
path258,413.8,762.8,101.9,14.3
g269,475.89932,602.1,253.50068,175.3
path267,475.89932,602.1,253.50068,175.3
path271,480.4,605.3,240.1,172
path273,483.7,605.3,240.1,172
circle275,607.2,682.40001,15.6,15.6
path277,177.30929,765.38947,53.980331,47.666185
path279,177.30929,765.0601,42.790709,45.239904
path281,192.1,743.6,14.9,30
path283,192.1,743.6,14.9,30
path285,200.8,742.05641,27.1,23.187254
path287,200.8,742.05641,27.1,23.187254
path289,200.31049,745.10218,27.636118,20.099687
